ID,Class
13154,b
2571,a
1320,a
16907,b
5570,a
16608,b
11334,a
10064,a
2193,a
18183,b
14124,b
10513,a
18961,b
8988,a
2091,a
5356,a
6540,a
603,a
303,a
2702,a
3696,a
6661,a
12072,a
1261,a
4913,a
12404,a
2384,a
11189,a
3297,a
14963,b
17367,b
7687,a
2734,a
431,a
1389,a
1024,a
11113,a
17737,b
12220,a
10678,a
12645,b
10527,a
12884,b
9874,a
12350,b
78,a
2228,a
8740,a
15689,b
17238,b
7439,b
10657,a
13618,a
13836,a
6447,a
2118,a
7822,b
4140,a
12784,b
15297,a
10766,a
15091,b
2653,a
13359,a
7709,a
4298,a
12631,a
1641,a
6396,a
8694,a
4879,a
15463,b
16812,b
3501,a
6169,a
12103,a
13667,a
1410,a
11869,a
1501,a
131,a
359,a
6793,a
14586,b
15398,b
3740,a
5884,a
9865,a
12442,b
8125,a
17671,b
10219,b
6312,a
11739,a
349,a
1149,a
14592,b
5423,b
16200,b
9241,a
16223,b
9571,a
3042,a
16522,b
101,b
15841,b
2106,a
12533,b
56,a
9500,a
4177,a
652,a
1285,a
17511,b
11590,a
685,a
15264,a
10138,a
9380,a
13719,b
18526,b
6036,a
9777,a
16663,b
12981,b
7257,a
18207,b
9642,a
11545,a
13732,a
1580,a
2670,a
17958,b
18136,a
14029,b
5165,a
11832,a
18472,a
17570,a
5745,a
17841,b
15227,b
6922,a
13527,b
8530,b
10200,a
1697,a
11100,a
1155,a
4000,a
2267,a
11535,a
6188,a
16997,a
14590,b
5593,a
17284,a
8583,a
3608,a
18513,a
8768,a
18860,a
17464,b
4915,a
15089,b
12386,b
9224,a
14431,b
5139,a
1398,a
7356,a
14352,b
7654,a
15440,b
15321,b
4221,b
11986,a
5672,a
3747,a
12373,a
14216,b
12895,b
7752,a
1461,a
17422,b
12114,a
11995,a
3330,a
4015,a
8711,a
11490,a
9801,a
11964,a
9809,a
7704,a
8803,a
11127,a
18557,b
16766,a
15233,b
1351,a
17839,b
2078,a
8799,a
18917,b
7479,a
2101,b
10695,a
18790,b
4663,a
622,a
3593,a
8810,a
1734,a
8249,a
13557,b
17275,b
2773,a
18773,b
16655,b
15667,a
18815,a
18907,a
17413,a
1718,a
15781,b
14575,a
18911,b
5494,a
13929,b
17261,a
8519,a
1648,a
14176,b
2483,a
11539,a
9129,b
1923,b
3541,b
5655,a
12841,a
6074,a
14680,b
17103,b
16551,b
11576,b
7617,a
4317,a
14105,b
11523,b
2545,a
8453,a
13838,b
2867,a
6502,a
17715,a
15025,b
2668,a
3223,b
12908,b
9542,b
7736,a
15190,b
14638,b
17756,b
10023,a
10012,b
4579,a
17914,a
15691,a
18039,b
4362,a
18151,b
11796,a
1452,a
4149,a
9670,a
12436,b
16723,b
4451,a
110,a
1864,a
14467,b
4242,a
9352,a
15346,b
3384,a
11547,a
18437,a
5612,a
13492,b
9089,a
13501,b
1895,a
1396,a
7876,a
16965,a
15906,b
16237,b
5725,a
14635,b
9309,a
15968,a
3302,a
4394,a
4014,a
8039,b
10431,a
8572,a
17281,b
10732,a
4174,a
14707,b
2779,a
7569,a
16847,a
9820,a
16645,a
72,a
12514,a
1867,a
14943,b
6966,a
4162,a
7322,a
15156,b
6204,a
15982,b
2068,a
12348,a
623,a
13180,b
6130,a
18576,b
14957,b
261,a
9720,a
11426,b
1926,a
3448,a
9180,a
10863,a
444,a
7429,a
2353,a
9349,a
13229,b
6618,a
12931,a
15761,b
15050,a
12479,a
17496,a
16547,a
2100,b
15605,a
4904,a
8631,b
337,a
3125,a
3730,a
11120,a
18382,b
14421,b
9901,a
17970,b
17157,a
5596,a
14658,a
12461,a
16233,b
2204,a
1685,a
4020,a
15828,a
13764,a
18559,b
2950,a
14618,a
3585,a
10555,a
15113,b
11156,a
15210,b
14556,a
5275,a
4272,a
17588,b
15998,b
10376,a
5796,a
11017,a
6054,a
17868,b
16405,b
5708,a
17057,a
2420,a
6286,a
12636,b
16473,b
7459,a
2222,a
9377,a
4463,a
4758,a
11238,a
3487,a
6401,a
15763,a
4165,a
11166,a
11038,a
15418,a
11467,a
3874,a
12251,a
17210,b
14918,a
9096,a
19,a
14690,b
4053,a
11698,a
12001,a
13855,b
17629,a
8156,b
4751,a
10243,a
12042,a
1511,a
10092,a
11270,a
15853,b
5169,b
8122,a
2870,a
3176,a
9527,a
17672,b
3270,a
5207,a
11273,a
6063,a
11889,a
16952,b
11441,b
2695,a
16420,b
8400,a
15543,b
7550,a
4484,a
2387,a
3938,a
6398,a
12457,a
16003,b
3335,a
8632,a
11931,b
11603,a
4472,a
6378,a
3272,a
18493,b
7452,a
6600,a
4786,a
7198,a
4487,a
2882,a
17306,b
127,a
7872,a
2778,a
9649,a
8386,a
3689,b
16530,b
18872,a
13184,b
7342,a
11213,a
12453,a
10231,a
15973,b
16741,a
9010,a
6236,a
17504,b
9296,a
4494,a
4399,a
986,a
4955,a
1559,a
16119,b
11069,a
16729,a
3326,a
9181,a
16304,b
3309,a
219,a
10447,a
73,a
12368,b
1885,a
3058,a
18633,b
17743,b
4775,a
18102,b
9624,a
6501,a
10909,a
6943,a
5340,a
10930,a
15936,b
4310,a
15415,a
3367,a
12474,b
2258,a
10845,a
8035,a
16459,b
3821,a
17134,b
15184,b
14433,b
10435,a
12830,b
3946,a
16148,b
15345,a
3262,a
1812,a
18647,b
11548,a
17040,b
3583,a
11886,a
13707,b
13375,a
8469,a
15657,a
16600,b
14962,b
14996,b
11541,a
11588,a
4251,a
17006,b
479,a
8425,b
592,a
17386,b
16968,b
15121,b
8930,a
4707,a
16260,b
114,a
2762,a
5823,a
6163,a
8850,a
18715,b
11779,a
2484,a
16294,b
11814,a
2771,a
14142,a
2640,a
13759,b
12391,b
9211,a
3365,a
11063,a
13893,b
16763,b
2639,a
5377,a
1063,a
7190,a
9612,a
4358,a
13079,b
8642,a
6728,a
13659,a
17936,b
5549,a
11992,a
9400,a
13109,b
13727,a
7873,b
1480,b
3170,b
8243,a
16807,a
13697,b
13237,b
16675,a
18540,b
6498,a
1446,a
10596,a
2352,a
2442,a
1331,a
2468,a
17177,a
18427,b
2972,a
1651,b
5296,a
14191,b
13504,b
8053,a
7805,a
6329,a
9965,a
14378,b
2400,a
12162,a
6926,a
11950,a
16988,b
12785,b
13096,a
15670,b
12144,a
8095,a
8232,a
16265,b
12681,a
9940,a
4004,b
5447,a
18479,a
1814,b
16105,b
13872,b
17573,b
15023,b
13978,b
18552,b
6998,a
14634,b
7245,a
14502,b
1931,a
15489,b
12495,a
9414,a
13357,b
17048,b
16249,a
17024,b
16811,b
18404,b
5265,a
2374,a
2497,a
8110,a
10540,a
14014,b
8002,b
15004,b
7390,a
9898,a
11906,a
11449,a
5505,a
8961,a
5448,a
384,a
14709,b
5581,a
18580,b
38,a
14879,b
12029,a
10370,a
6961,a
1309,a
375,a
13517,b
12782,b
17294,a
1002,b
5295,a
10653,a
14487,b
8713,a
4324,a
77,a
6003,a
2609,a
15007,b
18548,b
2625,a
4932,a
183,a
11692,b
11903,a
447,a
3490,a
6950,a
15445,a
16182,a
8918,a
1912,a
11445,a
18270,a
5163,a
2464,a
18442,b
4581,a
1897,a
12869,a
2638,a
2316,a
17625,b
10750,a
3484,a
389,a
12188,a
3112,a
10051,a
2732,a
2292,a
11460,a
13506,a
18659,b
10037,a
7640,a
9275,a
8635,a
11946,a
6635,a
11829,b
17311,a
11765,a
5179,a
6020,a
18998,b
18876,b
8698,a
1874,a
6711,b
3560,a
15311,b
15139,a
4186,a
1179,a
771,a
13034,b
5503,a
6043,a
1192,a
885,a
9397,a
4517,a
17616,a
13409,b
7334,a
13214,b
8154,a
4044,a
5737,a
12880,a
13196,b
18534,b
15825,b
14651,a
15219,a
15737,a
11244,b
16776,b
1879,a
17170,b
12938,b
969,b
10389,a
9621,a
9164,a
5053,a
4529,a
18072,b
17651,b
18828,b
1566,a
2317,a
194,a
11205,a
2567,a
13423,b
8146,a
3536,a
7511,a
5717,a
5367,a
17676,b
7858,a
9269,a
14417,b
5600,a
2338,a
7016,a
10406,a
13318,b
13283,b
8793,a
7731,a
6284,a
3889,a
8710,a
14715,b
3443,a
6824,a
9138,a
14141,b
16351,b
5108,a
7760,a
10275,a
17523,b
1171,a
12315,a
4595,a
6804,b
8484,a
15677,b
2083,a
9912,a
4415,a
13119,b
4288,a
9515,a
8975,a
18533,a
18388,b
12101,a
17873,b
15749,b
13328,b
2676,a
12692,a
8497,a
17879,a
6697,a
8929,a
3429,a
13158,b
12002,a
2385,a
15425,b
1392,a
8838,a
5368,a
7564,a
14077,a
13336,b
14242,b
4638,a
18326,b
8936,a
15404,b
18523,b
519,a
16022,a
18599,b
3107,a
17038,a
2841,b
7422,a
289,a
17224,a
1860,a
14267,a
6243,a
11175,a
15163,b
4314,a
10584,a
10404,a
5730,a
15594,b
18703,b
6593,a
3870,a
8459,a
14021,b
15590,a
4246,a
15492,b
11117,a
12842,b
18939,a
2782,a
4701,a
8311,a
15951,b
16805,b
18543,b
10014,a
565,a
14436,b
15094,a
3877,a
12128,a
18855,a
11892,a
132,b
9163,a
14861,b
750,a
17831,b
8965,a
10739,a
15475,b
9116,a
19004,b
3957,a
12780,b
5065,a
4620,a
5514,a
2182,b
13067,a
13088,b
2543,a
1371,a
16757,a
5989,a
16577,b
5744,a
10745,a
16320,a
7855,a
5421,a
8037,a
1634,a
18833,a
17558,a
17618,b
8160,a
13822,b
8234,a
16877,a
13033,b
12948,b
7020,a
15269,b
12469,a
16120,b
3514,a
14497,b
6573,b
8178,a
17979,b
17335,b
4452,b
5602,a
16097,b
7508,a
4776,b
13787,b
5153,a
16318,a
11483,a
6217,a
1719,a
1999,a
10950,a
14084,b
13065,b
6144,a
6653,a
3355,a
2157,a
13982,b
3975,a
13251,b
1784,a
125,a
11529,a
9881,a
4456,a
11164,a
13394,a
11844,a
14542,b
2687,a
17491,b
7458,a
11188,a
5365,a
6833,a
3644,a
8885,b
1105,a
4355,a
10789,a
3430,a
8264,a
2613,a
4347,a
11663,a
18978,b
9486,a
11592,a
2729,a
1383,a
14302,b
3576,a
1796,a
6818,a
9435,a
16672,b
13530,a
12291,a
11398,b
9976,a
12062,a
6671,a
1289,a
7661,a
10210,a
17795,b
8105,a
1217,a
10754,a
15759,b
11764,a
10620,a
4762,a
5009,a
10606,a
16244,a
5793,a
11014,a
7203,a
3342,a
2269,a
3046,a
12714,b
3543,a
7828,a
8167,a
15978,a
16951,b
16344,b
8461,a
11820,b
7859,a
7783,a
5008,a
3424,a
10319,a
3263,a
3183,a
3314,a
10483,a
12896,a
10132,a
1354,a
5986,a
13820,b
6941,a
8192,a
7593,a
5252,a
14841,b
16746,b
9358,a
6755,a
9493,a
7995,a
9814,a
12390,b
9005,a
354,a
8536,a
4918,a
17822,b
4933,a
15355,b
9229,a
9646,a
7081,a
9966,a
15313,b
7100,a
13125,b
3334,a
6497,a
18482,a
8613,a
401,a
10119,a
16679,a
9523,a
811,b
11987,a
4825,a
809,a
13613,b
3180,a
13116,b
16282,b
15683,b
9785,a
13475,a
13949,a
12683,b
12281,b
15028,a
7699,a
14262,a
17330,b
14699,b
8022,a
14633,a
17239,b
3561,a
11341,a
7278,a
6098,a
13029,b
4259,a
11810,a
15577,a
7950,a
424,a
870,a
3228,a
11648,a
4745,a
16586,b
1266,b
9775,a
2336,a
16053,a
9437,a
16823,b
404,a
3034,a
10281,a
2718,a
5705,a
11797,a
17754,b
7038,a
5755,a
8736,a
1710,a
2733,b
15865,a
19000,a
522,a
1074,b
10563,a
6510,a
18229,b
14517,b
18282,a
9889,a
12301,a
2838,a
11309,b
6799,a
4115,a
10824,a
4234,a
3052,a
13881,b
11572,a
16955,b
15549,b
11443,a
5515,a
13640,b
12671,b
3187,a
5769,a
16782,a
17298,b
15690,b
12319,a
15953,b
10101,a
12794,b
15821,b
6594,a
2437,a
10500,a
17184,b
13620,b
13225,b
18483,b
4730,a
5118,a
16069,b
4050,a
12949,b
10737,a
18567,b
3781,a
4508,a
6696,a
553,a
8452,a
11675,a
3411,a
2315,a
14446,b
3950,a
16995,b
14224,b
13131,b
15676,b
14255,b
4936,a
4227,a
254,a
1319,a
11186,a
5376,a
5638,a
3359,a
2132,a
13884,b
18250,b
5566,a
8067,a
9506,a
5972,a
11622,a
6269,a
606,a
6529,a
16539,b
12489,b
5105,a
15993,b
14780,b
18651,b
3532,a
18807,b
16443,b
14824,b
18234,a
17485,b
18055,b
14981,b
5068,a
1251,a
3739,a
6027,a
12892,b
6013,a
4117,b
7662,a
11661,a
7002,a
1628,a
12413,b
6220,a
5690,a
7056,a
4040,a
14365,b
17825,b
11577,a
10696,a
16208,a
14639,b
12297,a
3752,a
11114,a
2247,a
10968,a
17382,b
2485,a
15188,a
8831,a
16854,a
3007,a
18675,a
7367,a
2115,a
13001,b
10693,a
8036,a
4293,a
12972,b
2411,a
5726,a
849,a
9151,a
642,b
18023,b
6005,a
12068,a
4135,a
13813,b
6458,a
16917,b
12473,b
3509,a
10998,a
7084,a
14079,b
7194,a
7705,a
5966,a
14416,b
17288,b
2860,a
18613,b
10426,a
16471,a
3068,a
1276,a
8107,a
15814,a
15084,b
7460,a
17908,b
10987,a
18541,a
8147,a
10647,a
17798,a
12806,b
17734,b
17124,b
11505,a
2754,a
12539,b
7462,a
2673,a
2789,a
851,a
15922,b
442,a
17361,b
4402,a
18118,b
10672,a
12777,b
4195,a
7945,a
7690,b
11182,a
12299,a
18110,b
9090,a
1599,a
6694,a
11653,a
8018,a
13445,a
15002,a
11318,a
520,a
8367,a
18797,b
16772,b
4632,a
8309,a
11525,a
17719,b
16924,b
1116,a
9262,a
13077,b
16253,b
15294,b
12722,a
2574,b
16381,b
16324,b
2021,a
4447,a
17849,b
6796,a
12165,a
7861,a
9391,a
2787,a
13734,b
2092,a
1979,a
18267,b
12920,b
18461,a
15574,b
8783,a
16146,a
9741,a
4618,a
3722,a
17322,b
1282,a
14777,b
13432,b
3736,a
15284,b
2626,a
14650,b
6317,a
17199,b
5400,a
670,a
8181,b
1260,a
12352,a
256,a
18508,b
378,a
3476,a
5538,a
15695,b
17804,a
14601,b
1485,a
3620,a
18371,b
11446,a
736,a
7252,a
9227,a
6295,a
4248,a
2125,a
10131,a
2864,a
5000,a
4962,a
8577,a
2528,a
18847,b
15856,b
14484,a
16978,b
17197,b
17087,b
11494,a
10768,a
10038,a
9906,a
11839,a
12036,a
13662,a
16341,b
17621,b
8940,a
16018,b
8867,a
5341,a
9039,a
10977,a
17375,a
17889,b
12407,b
835,a
1524,a
16892,b
5157,a
3440,a
14795,b
13524,a
12939,a
7233,a
9481,a
1075,a
165,a
13688,b
11344,a
2665,a
12222,a
18723,b
3703,a
6619,a
11484,a
12171,a
17941,b
15745,b
12887,b
5290,a
15070,b
15518,a
2074,b
3610,a
14055,b
12840,a
9446,a
14737,a
13869,b
2128,a
14815,b
6017,b
632,a
4224,a
16680,a
10956,a
4552,a
18425,b
11534,a
9390,a
16818,a
11556,b
10313,a
6876,a
17524,b
4144,a
5982,a
17349,a
4810,a
13531,b
3454,a
17897,a
3559,a
7605,a
4483,a
12906,b
10867,a
15986,a
18408,b
3026,a
2080,a
17851,a
4320,b
15593,b
7937,a
16617,b
1565,a
15022,a
12858,a
14290,a
8935,b
4302,a
10186,a
13401,a
18162,b
18544,a
11742,a
13436,b
15987,b
11338,a
10628,a
18115,b
1133,a
7572,a
4018,a
534,a
10357,a
5387,a
13456,b
533,a
18942,b
13739,a
1300,a
3257,a
14719,b
8161,a
7201,a
17718,b
13311,b
5472,a
9148,a
18899,b
3538,a
2203,a
18888,b
4469,a
8414,a
17543,b
14332,b
3573,a
8463,a
9327,a
10261,a
1224,a
2742,a
16726,a
4689,a
17864,b
5121,a
17591,b
1034,a
7382,a
8395,a
16226,b
18457,b
10576,a
6650,a
11925,a
7264,b
3876,a
350,a
14065,b
12951,b
2904,a
15080,b
12757,a
6180,a
17050,b
18563,b
18464,a
12872,b
9367,a
8423,a
13255,b
10523,a
9656,a
17777,b
14922,a
11660,a
8814,b
966,a
7360,a
959,a
9776,a
7762,b
11274,a
10191,a
18791,b
13275,b
17401,b
18789,b
9827,a
2674,a
6023,a
11841,a
3110,a
8268,a
9967,a
5232,a
11084,b
621,a
7992,a
12953,b
4138,a
14221,b
11504,a
3713,a
7747,a
10769,a
14843,b
9973,a
2004,a
15490,b
18474,a
1611,a
266,a
4282,a
10957,a
6311,a
16251,b
2926,a
9810,a
15568,b
15405,b
15641,a
14375,b
3801,a
12236,a
14300,a
890,a
18214,b
1626,a
17325,b
18958,b
1475,a
4496,a
2740,a
7074,a
4705,a
13711,b
11311,a
11855,a
12279,a
12076,a
18731,b
13050,b
13612,b
17602,a
3651,a
17316,b
7628,a
2321,a
16380,a
4191,a
17061,b
16033,b
8486,a
2431,a
8618,a
9372,a
2461,a
17179,b
6991,a
18336,b
8666,a
2181,a
10586,a
3841,a
14850,a
5306,a
355,a
6951,a
10740,a
552,a
7514,a
4842,a
7176,a
4273,a
16186,a
12799,b
9104,a
11784,a
16160,b
5780,a
12587,b
10022,a
8308,a
11292,a
6741,a
14881,a
9034,a
18082,b
3378,a
10401,a
6556,a
15441,b
10519,a
4886,a
7238,a
14915,a
14587,b
1780,a
12635,b
18642,b
6955,b
2223,a
13454,b
7099,a
18753,b
14566,b
2848,b
6270,a
3282,a
17645,a
15542,b
11554,a
10684,a
12190,a
5311,a
5693,a
18922,a
17870,a
13905,b
11263,a
6642,a
2757,a
1753,a
10117,a
2331,a
12566,b
16084,b
1536,a
17634,b
4681,a
10204,a
24,a
4034,a
17018,b
7231,a
16483,a
16913,b
13304,b
18012,b
13623,b
713,a
1583,a
1019,a
18589,b
3557,a
15462,a
2087,b
7227,a
15044,b
1618,a
18786,b
6777,a
2768,a
10882,a
1925,a
9197,a
13945,b
10161,a
10973,a
7649,a
17612,b
3558,a
1983,a
7262,b
1352,a
1035,a
2995,b
12416,b
18573,b
1672,a
17025,b
1473,a
5758,a
13261,b
18913,b
9902,a
4193,a
12484,a
9501,a
7319,a
6313,a
14874,b
15623,b
17151,a
5325,a
9145,a
17015,a
1698,a
9161,a
300,a
14217,a
3618,a
2748,a
3530,a
14663,b
7621,a
15719,a
17269,b
17995,b
6239,a
18169,b
9731,a
17488,b
9888,a
11171,a
1843,a
8722,a
12796,a
14294,a
9914,a
17351,b
14241,b
5556,a
15457,b
8959,a
4830,a
18177,b
17,b
2541,a
7792,a
3463,a
1139,a
149,a
14429,b
1347,a
16808,b
15261,a
7750,a
988,a
4408,a
11447,b
11812,a
7757,a
9541,a
15526,b
5998,a
8523,a
15891,b
26,a
13713,b
6007,b
5523,a
1668,a
18140,a
17501,b
14086,b
12187,a
16891,b
1080,b
13633,b
12382,b
8886,a
13933,b
3073,a
12641,a
2299,a
2834,a
1328,a
11328,a
14011,b
9205,b
10884,a
6405,a
12758,b
16810,b
7733,a
14585,b
16587,b
15035,b
6292,a
10348,a
8482,a
15171,b
12203,a
4893,a
15295,b
10091,a
14889,b
10945,a
11489,a
1788,a
7269,a
3201,a
14082,b
1062,a
8790,a
13611,a
6748,a
830,a
6052,a
11320,a
15980,b
5262,a
15399,b
12795,a
8384,a
1573,a
11226,a
5579,a
7573,a
17538,b
10725,a
15582,b
2566,a
10743,a
14307,b
7222,a
13796,b
17933,b
11390,a
15422,a
16827,b
13774,b
12011,a
12715,b
16159,b
380,b
5947,a
14951,b
15597,b
18191,a
7329,a
18328,b
8744,a
13488,b
17113,b
18787,b
1238,a
8200,a
5250,a
16089,b
9721,a
506,b
6008,b
7061,a
8741,a
13938,b
10123,a
4659,a
6599,a
817,b
1022,a
7316,a
17503,b
18529,b
2413,a
12055,b
4323,a
2869,a
11501,a
10424,a
4390,a
14150,b
9331,a
4863,a
6444,a
10485,a
17919,b
14888,a
4567,a
18861,a
8140,a
5838,a
8126,a
17988,b
7930,a
6105,a
8191,a
17505,b
15580,b
9817,a
16408,b
16502,a
17256,b
12330,a
11786,a
549,a
7738,a
9284,a
18952,b
8709,a
18669,a
15794,b
14023,b
4678,a
6107,a
14125,b
17069,b
13185,a
10128,a
1754,a
3148,a
8665,a
12811,b
16872,b
9511,a
13302,b
10682,a
787,a
8119,a
6056,a
9149,a
14053,b
6674,a
12857,b
5062,a
18417,a
15221,b
11346,a
1239,a
18506,b
14524,b
7578,a
18080,b
12021,a
16743,b
17709,b
4704,a
4088,b
5035,a
2849,a
3875,a
3940,a
11245,a
15509,b
15536,a
467,a
14331,a
5620,a
2313,a
15720,b
6372,a
14864,b
11280,a
17568,a
12351,b
4022,a
2081,a
11538,a
1844,a
18736,b
17776,b
14385,b
7984,a
7486,a
18673,a
15955,a
13799,b
2435,a
16748,a
14768,b
1489,a
3496,b
668,a
453,a
17611,b
8745,a
6691,a
14990,b
15845,b
9630,a
15166,a
14109,b
6109,a
434,a
5151,a
2357,a
1876,a
17943,a
6831,a
9577,a
2493,a
4655,a
2775,a
8368,a
1191,a
13880,a
14172,b
6024,b
1460,a
11935,a
1987,a
13015,b
3753,a
17728,b
11142,a
6856,a
17397,b
1214,a
13673,b
18726,a
12823,b
10837,a
9779,a
13366,b
7191,a
13532,b
4201,a
3605,a
12797,b
10618,a
17132,b
13654,a
2582,a
2964,a
9639,a
17338,b
17886,b
967,a
17927,a
4823,a
1995,a
4356,a
18850,b
5050,a
3312,a
9773,a
18142,b
10093,a
3646,a
11500,a
1061,a
15959,b
7810,a
4640,a
879,a
6275,a
7827,a
17192,b
777,a
7638,a
9280,a
10767,a
17204,a
1424,a
9136,a
17710,b
6652,a
13917,a
3474,a
3340,a
16113,a
8349,a
5616,a
13574,b
17553,a
15092,b
15960,b
10838,a
10336,b
5528,a
3932,a
16118,a
9443,a
11727,a
8211,a
4161,a
8108,a
12824,b
6126,a
14407,a
16798,b
5607,a
17104,a
10811,a
14180,a
4642,a
2694,a
10039,a
11363,a
1366,a
16287,b
16387,a
7867,a
11806,a
14468,b
6587,a
5289,a
18193,b
7079,a
2781,a
1156,a
2039,b
6224,a
4996,a
3929,a
5152,a
9144,a
12612,a
6381,a
6564,a
14335,b
6559,a
2332,a
10328,a
3590,a
3898,a
11597,a
15157,b
1281,a
3002,b
1644,a
17376,a
11093,a
2783,a
18531,b
2529,a
1122,a
2583,a
3234,a
11657,a
5381,a
16941,b
17980,b
10345,a
16942,b
11843,a
4374,a
3276,b
6857,a
14482,a
6088,a
5014,a
12701,b
8430,a
15682,a
11233,a
6947,a
6500,a
7807,a
17230,b
16633,a
4779,a
14516,b
2402,a
3723,a
4333,a
9232,a
10929,a
11859,a
17445,b
15410,a
7501,a
12358,b
15947,b
17716,b
12651,a
18210,b
2943,a
9747,a
9948,a
2348,a
2671,a
14803,b
428,a
9340,b
7410,a
14729,a
4944,a
18123,a
17155,b
10601,a
1241,a
12090,a
5762,a
17363,b
5540,a
15108,b
13123,a
15569,a
10638,a
11410,a
11858,a
17383,b
11312,a
11382,a
358,a
17787,b
3565,a
7518,a
8689,a
4939,a
4599,a
7700,b
6545,a
543,a
7402,a
16678,b
